model,price
"$362.47, $1000 down, oac, 2.9%apr $362.47,luxury low miles $1000 down, only 40k miles",0.241393591660269
& altima,0.0206270960442846
(300),0.0807810416582488
(cng) 2500 express van,0.1868459331690169
(s)port (s)edan,0.0504767869408865
* vmi * ♿,0.1009737767182512
-,0.2019475534365024
- 328i - convertible,0.0625984888278314
- benz sprinter,0.4322598892884561
- forester,0.0585579215321831
- international,0.0555274960604468
- santa fe,0.0434057941735019
- tc3 - 3500 hd,0.0959331690169299
-150 xlt,0.2019677562729807
-350,0.083306396218029
-benz e350,0.0959331690169299
-benz s430,0.0302739504626449
.. ect.,0.0023334276132368
/ accord,0.0757303325386884
/ braun,0.0631035597397874
/ durango sport,0.1918966422885773
/ vmi / ♿,0.1004788072245343
/ vmi ♿,0.1009333710452947
// vmi // ♿,0.1009737767182512
// vmi ♿,0.1009737767182512
/vmi conversion van,0.1767445149298961
"08' mkz 79,000 miles!",0.0907814457149783
"08' mkz 79,ooo mi.",0.0907814457149783
1 series,0.1308795866050704
1 series 128i,0.11326720271526118
1 series 128i convertible 2d,0.15243070733191544
1 series 128i coupe 2d,0.13766829708528658
1 series 135i 2dr coupe,0.2221099842417875
1 series 135i convertible 2d,0.23908049474956403
1 series 135i coupe 2d,0.19260374156531565
1 series 2dr conv 128i,0.14129358761970176
1 series 2dr conv 135i,0.1514404622408986
1 ton,0.06158329629479975
1 ton 3500,0.1666430966907753
1 ton box truck,0.0282536668148208
1 ton dump bed,0.1085599418158309
1-series,0.08821821083680145
1-series 128i,0.0907612428785001
1-series 128i coupe,0.0696694815952159
1-ton,0.0888621762495454
1-ton deluxe,0.1666430966907753
1.8t convertible 2d,0.0499717160289304
1/2 ton expressvan,0.0479514323811063
1/2 ton trucks,0.1109640793567416
100 cs quattro wagon,0.0252232413430845
124 spider,0.18837798160195018
124 spider $25k,0.2626065699624227
124 spider abarth,0.27565872470717107
124 spider classica,0.20876199313838206
124 spider lusso,0.2404378420884138
128,0.1110347892844155
128 i coupe,0.0898723180734575
128 sport package,0.0605782051800072
128i,0.12363651056608344
128i 1-series coupe,0.1514404622408986
128i 2dr coup automatic clean carfax local vehicle,0.1393591660269101
128i convertible,0.09589853558296724
128i coupe,0.06895985696391768
128ic,0.0757303325386884
135,0.1110600428300133
135i,0.12254851206109335
135i convertible,0.08987231807345748
135i m sport,0.12845973574689884
135is,0.2549042385550931
15,0.0191623903996121
15 passenger shuttle van,0.1060345872560507
15 passenger van,0.0656289142995676
15-pass. van,0.0704018344175522
150,0.08870181623499937
150 4wd,0.1262374237342922
150 4x4,0.1615418804800193
150 full size van i,0.0019899793931067
150 xlt,0.2110893369429067
150 xlt 4x4,0.3999353509232696
1500,0.2364417337324354
"1500 $374 month,slt,48 months, 2.9%apr,$1000 down, oa 48 months, 2.9%apr, $374 month, $1000 down, oac, only $16,750",0.1590670330114348
"1500 $381.17, month, $2000 down, only 76k miles $381.17, month, $2000 down, only 76k miles",0.2524546446321063
"1500 $398.43, $2500 down, only 58k miles $398.43, $2500 down, only 58k miles",0.2694755343650248
1500 *4x4*slt 4dr *crew cab sb *pichup *local *truck,0.17142106751787947
1500 *4x4-slt 4dr -crew cab sb -pickup *local *truck,0.1714210675178795
1500 2wd crew cab 140.5 spor,0.3231645723059517
"1500 2wd reg cab 120.5"" tradesman",0.1514404622408986
1500 2wd sport,0.292910824679785
1500 4 x 4,0.1610873166592589
1500 4.7 slt,0.1211362075235363
"1500 4dr quad cab 140.5"" wb slt",0.0757202311204493
1500 4wd,0.20044244211887344
1500 4wd crew cab,0.3030021415006667
"1500 4wd crew cab 140.5"" laramie",0.2676471776637439
"1500 4wd crew cab 140.5"" rebel",0.3105883065982464
"1500 4wd crew cab 140.5"" slt",0.2113216695624065
"1500 4wd crew cab 140.5"" sport",0.3686613600549517
"1500 4wd crew cab 149"" laramie",0.2928603175885894
"1500 4wd quad cab 140.5"" big horn",0.22549395935189298
"1500 4wd quad cab 140.5"" express",0.2827588993494687
"1500 4wd quad cab 140.5"" slt",0.1716432987191401
"1500 4wd quad cab 140.5"" sport",0.2827588993494687
1500 4x2,0.0454260778213261
1500 4x4,0.1839725336763124
1500 4x4 big horn,0.3424077740514768
1500 4x4 crew cab,0.19995959432704347
1500 4x4 crew cab low miles,0.2725968726009131
1500 4x4 express 4dr quad cab 6.3 ft sb pickup truck clean carfax 2-owner local truck,0.2212816679461796
1500 4x4 extended cab,0.090831952806174
1500 4x4 gas,0.3535092326962705
1500 4x4 hemi quad cab,0.2726978867833043
1500 4x4 laramie,0.1413895510929734
1500 4x4 lb,0.0402743545193745
1500 4x4 slt,0.16713554082993248
1500 4x4 sport,0.0302739504626449
1500 4x4 v6,0.2424037334841811
1500 5.7 hemi,0.0706291163279324
1500 8ft,0.1109842821932199
1500 avalanche ltz 4x4,0.1105802254636551
1500 big horn,0.2630464181368595
1500 big horn 1 owner 4x4,0.3837730817406763
1500 big horn 4wd,0.4158282489528196
1500 big horn 4wd 4x4,0.41340559214513717
1500 big horn 4wd!,0.2916380459816558
1500 big horn 4x2 crew cab 5'7 box w/ bluetooth automatic,0.3484686249949493
1500 big horn 4x4,0.23762720571682544
1500 big horn 4x4 5.7l hemi,0.3330639621802901
1500 big horn 4x4 crew cab,0.1918461351973817
1500 big horn 4x4 hemi,0.2423532263929855
"1500 big horn 4x4 quad cab 6'4"" box",0.3029617358277102
1500 big horn classic,0.383823588831872
1500 big horn crew cab short bed pick up truck,0.3231140652147561
1500 big horn diesel,0.3332659905450725
1500 big horn hemi,0.1105802254636551
1500 big horn hemi v8 4x4,0.1413390440017778
1500 big horn quad cab 4x4,0.2221907955877005
1500 big horn sport,0.4746858458927633
"1500 big horn | *one owner*,",0.3837730817406763
1500 big horn/lone star,0.3906516159079261
1500 big horn/lone star 4x4,0.4545234150874783
1500 big horn/lone star automatic,0.3381045698816113
1500 big horncrew cab,0.24672461513596508
1500 big hornextended cab,0.2919006828558729
1500 bighorn,0.38562164127843546
1500 bighorn 4x4,0.009347179010599733
1500 bighorn 4x4 gas,0.40876993247499
1500 classic,0.3603494469084998
1500 classic 4wd,0.2990827912238878
1500 classic big horn,0.371610974180775
1500 classic bighorn,0.3905477662397134
1500 classic crew cab,0.37175627919698384
1500 classic crew cab big,0.3433169016929976
1500 classic crew cab lone,0.3332154834538769
1500 classic crew cab slt,0.3232203959330626
1500 classic express,0.38067598690856197
1500 classic quad cab,0.31271822759037315
1500 classic quad cab slt,0.3493777526364701
1500 classic regular cab,0.2547778389548033
1500 classic slt,0.32479494120974584
1500 classic slt 4wd,0.296519917110648
1500 classic slt 4x4,0.37960456314733254
1500 classic slt crewcab,0.3732170996807952
1500 classic sport 4x4,0.3939149056527536
1500 classic sxt plus,0.3838134874136328
1500 classic tradesman,0.3364923835306477
1500 classic warlock,0.3920709376687395
1500 club coupe,0.1110347892844155
1500 conversation,0.0858317507778092
1500 conversion van,0.10836464772987459
1500 crew,0.2726574811103479
1500 crew 4x4,0.2423532263929855
1500 crew cab,0.25999841125993406
1500 crew cab 4x4,0.19940957210392338
1500 crew cab 4x4 big horn,0.2423532263929855
1500 crew cab 6ft 4 bed,0.2828094064406642
1500 crew cab big horn,0.3637710805463228
1500 crew cab express,0.2524546446321063
1500 crew cab express 4x4,0.2322518081538647
1500 crew cab express pickup,0.30576597736930955
1500 crew cab hemi,0.0999737363125782
